2019-04-22 13:12:42,417 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-22 16:01:27,753 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-04-23 10:04:11,597 [Worker-6: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-04-30 14:40:50,117 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-05-02 14:49:35,610 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-05-16 14:53:43,752 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2019-05-17 11:56:22,696 [Worker-7: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-05-17 14:41:29,421 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-05-20 15:16:06,333 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\jms\pom.xml
2019-05-20 15:16:17,708 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mycompany:jms:0.0.1-SNAPSHOT @ C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\jms\pom.xml.
2019-05-20 15:16:22,826 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jms/src/main/java
2019-05-20 15:16:22,827 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /jms/src/main/resources
2019-05-20 15:16:22,827 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /jms/src/test/java
2019-05-20 15:16:27,468 [Worker-880: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 20 sec
2019-05-20 15:16:31,988 [Worker-884: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:16:32,027 [Worker-884: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:16:32,031 [Worker-884: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:16:32,080 [Worker-884: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\jms\src\test\resources
2019-05-20 15:17:41,014 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml
2019-05-20 15:17:41,811 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mycompany:YL_JavaEE7_JMS:0.0.1-SNAPSHOT @ C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\pom.xml.
2019-05-20 15:17:43,038 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /YL_JavaEE7_JMS/src/main/java
2019-05-20 15:17:43,039 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /YL_JavaEE7_JMS/src/main/resources
2019-05-20 15:17:43,039 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /YL_JavaEE7_JMS/src/test/java
2019-05-20 15:17:45,144 [Worker-884: Creating maven-archetype-webapp] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2019-05-20 15:17:46,618 [Worker-885: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:17:46,628 [Worker-885: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:17:46,631 [Worker-885: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:17:46,648 [Worker-885: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:17:56,040 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:17:56,052 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:17:56,061 [Worker-876: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:17:56,082 [Worker-876: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:19:01,003 [Worker-882: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:19:01,026 [Worker-882: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:19:01,028 [Worker-882: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:19:01,046 [Worker-882: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\AlexandruStan\Desktop\Development\eclipse-workspace\JavaEE-learning-workspace\YL_JavaEE7_JMS\src\test\resources
2019-05-20 15:20:20,013 [Worker-886: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-05-20 15:20:20,034 [Worker-886: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-05-20 15:20:20,046 [Worker-886: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
